Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1082,Midtjylland,707,Norddjurs Kommune,941351,"Albæk By, Rimsø","Albæk By, Rimsø"
1082,Midtjylland,657,Herning Kommune,1192251,"Albæk Gde., Havnstrup","Albæk Gde., Havnstrup"
1082,Midtjylland,657,Herning Kommune,1191451,"Albæk Gde., Snejbjerg","Albæk Gde., Snejbjerg"
1083,Syddanmark,630,Vejle Kommune,1121451,"Ålbæk Gde., Thyregod","Ålbæk Gde., Thyregod"
1081,Nordjylland,840,Rebild Kommune,611051,"Albæk Hgd., Suldrup","Albæk Hgd., Suldrup"
1081,Nordjylland,813,Frederikshavn Kommune,531051,"Ålbæk, Råbjerg","Ålbæk, Råbjerg"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,2008753,"Albæk, Skjern Jorder","Albæk, Skjern Jorder"
1083,Syddanmark,479,Svendborg Kommune,420751,"Albjerg By, Oure","Albjerg By, Oure"
1082,Midtjylland,707,Norddjurs Kommune,970251,"Albøge By, Albøge","Albøge By, Albøge"
1081,Nordjylland,813,Frederikshavn Kommune,551051,"Ålborggård, Torslev","Ålborggård, Torslev"
1082,Midtjylland,710,Favrskov Kommune,790851,"Aldrup Gde., Hvorslev","Aldrup Gde., Hvorslev"
1082,Midtjylland,766,Hedensted Kommune,1090151,"Åle By, Åle","Åle By, Åle"
1085,Sjælland,390,Vordingborg Kommune,320251,"Ålebæk By, Borre","Ålebæk By, Borre"
1085,Sjælland,390,Vordingborg Kommune,320252,"Ålebækgård, Borre","Ålebækgård, Borre"
1081,Nordjylland,849,Jammerbugt Kommune,580651,"Ålegård Hgd., Skræm","Ålegård Hgd., Skræm"
1085,Sjælland,376,Guldborgsund Kommune,510651,"Algestrup By, Maglebrænde","Algestrup By, Maglebrænde"
1085,Sjælland,259,Køge Kommune,311051,"Algestrup By, Sædder","Algestrup By, Sædder"
