Regionskode,Regionsnavn,Kommunekode ,Kommunenavn,Ejerlavskode,Ejerlavsbetegnelse,Unikt navn
1085,Sjælland,340,Sorø Kommune,220752,"Hellestrup Hgd., Kirke Flinterup","Hellestrup Hgd., Kirke Flinterup"
1085,Sjælland,316,Holbæk Kommune,2000853,"Hellestrup, Holbæk Jorder","Hellestrup, Holbæk Jorder"
1083,Syddanmark,482,Langeland Kommune,450155,"Helletofte By, Bøstrup","Helletofte By, Bøstrup"
1083,Syddanmark,479,Svendborg Kommune,430153,"Hellev By, Bjerreby","Hellev By, Bjerreby"
1081,Nordjylland,810,Brønderslev Kommune,550555,"Hellevad By, Hellevad","Hellevad By, Hellevad"
1083,Syddanmark,580,Aabenraa Kommune,1510351,"Hellevad Ejerlav, Hellevad","Hellevad Ejerlav, Hellevad"
1082,Midtjylland,671,Struer Kommune,720755,"Helligkilde By, Hvidbjerg","Helligkilde By, Hvidbjerg"
1082,Midtjylland,671,Struer Kommune,720756,"Helligkildegård, Hvidbjerg","Helligkildegård, Hvidbjerg"
1081,Nordjylland,787,Thisted Kommune,720451,"Helligsø By, Helligsø","Helligsø By, Helligsø"
1085,Sjælland,360,Lolland Kommune,500752,"Hellinge By, Halsted","Hellinge By, Halsted"
1081,Nordjylland,810,Brønderslev Kommune,550651,"Hellum By, Hellum","Hellum By, Hellum"
1081,Nordjylland,840,Rebild Kommune,631454,"Hellum By, Torup","Hellum By, Torup"
1081,Nordjylland,820,Vesthimmerlands Kommune,651552,"Helminggård, Ulstrup","Helminggård, Ulstrup"
1083,Syddanmark,420,Assens Kommune,390751,"Helnæs By, Helnæs","Helnæs By, Helnæs"
1084,Hovedstaden,270,Gribskov Kommune,110652,"Helsinge By, Helsinge","Helsinge By, Helsinge"
1084,Hovedstaden,217,Helsingør Kommune,2000651,Helsingør Bygrunde,Helsingør Bygrunde
1084,Hovedstaden,217,Helsingør Kommune,2000652,Helsingør Markjorder,Helsingør Markjorder
1084,Hovedstaden,217,Helsingør Kommune,2000653,Helsingør Overdrev,Helsingør Overdrev
1083,Syddanmark,482,Langeland Kommune,460353,"Helsned By, Humble","Helsned By, Humble"
1082,Midtjylland,730,Randers Kommune,920254,"Helsted By, Borup","Helsted By, Borup"
1082,Midtjylland,730,Randers Kommune,780451,"Helstrup By, Helstrup","Helstrup By, Helstrup"
1081,Nordjylland,787,Thisted Kommune,720553,"Heltborg By, Heltborg","Heltborg By, Heltborg"
1083,Syddanmark,540,Sønderborg Kommune,1550652,"Helved, Notmark","Helved, Notmark"
1085,Sjælland,350,Lejre Kommune,30453,"Helvigmagle By, Glim","Helvigmagle By, Glim"
1082,Midtjylland,779,Skive Kommune,830353,"Hem By, Hem","Hem By, Hem (Skive Kommune)"
1081,Nordjylland,846,Mariagerfjord Kommune,870251,"Hem By, Hem","Hem By, Hem (Mariagerfjord Kommune)"
1082,Midtjylland,746,Skanderborg Kommune,1051153,"Hem By, Voerladegård","Hem By, Voerladegård"
1081,Nordjylland,820,Vesthimmerlands Kommune,661152,"Hemdrup By, Skarp Salling","Hemdrup By, Skarp Salling"
1082,Midtjylland,707,Norddjurs Kommune,940953,"Hemmed By, Hemmed","Hemmed By, Hemmed"
1083,Syddanmark,480,Nordfyns Kommune,380852,"Hemmerslev By, Særslev","Hemmerslev By, Særslev"
1085,Sjælland,330,Slagelse Kommune,250551,"Hemmeshøj By, Hemmeshøj","Hemmeshøj By, Hemmeshøj"
1085,Sjælland,370,Næstved Kommune,260455,"Hemmestrup By, Everdrup","Hemmestrup By, Everdrup"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1200352,"Hemmet Præstegård, Hemmet","Hemmet Præstegård, Hemmet"
1084,Hovedstaden,270,Gribskov Kommune,111253,"Hemmingstrup By, Valby","Hemmingstrup By, Valby"
1082,Midtjylland,746,Skanderborg Kommune,1040355,"Hemstok By, Dover","Hemstok By, Dover"
1083,Syddanmark,573,Varde Kommune,1340354,"Henne By, Henne","Henne By, Henne"
1083,Syddanmark,607,Fredericia Kommune,1160252,"Henneberg Ladegård, Erritsø","Henneberg Ladegård, Erritsø"
1083,Syddanmark,573,Varde Kommune,1340353,"Hennebjerg By, Henne","Hennebjerg By, Henne"
1083,Syddanmark,482,Langeland Kommune,460451,"Hennetved By, Lindelse","Hennetved By, Lindelse"
1083,Syddanmark,482,Langeland Kommune,450453,"Henninge By, Skrøbelev","Henninge By, Skrøbelev"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1210651,"Herborg By, Herborg","Herborg By, Herborg"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1211052,"Herborg By, Videbæk","Herborg By, Videbæk"
1085,Sjælland,259,Køge Kommune,310557,"Herfølge By, Herfølge","Herfølge By, Herfølge"
1084,Hovedstaden,163,Herlev Kommune,10451,Herlev,Herlev
1084,Hovedstaden,219,Hillerød Kommune,80753,"Herlev By, Nr. Herlev","Herlev By, Nr. Herlev"
1085,Sjælland,370,Næstved Kommune,270553,"Herluflille By, Herlufmagle","Herluflille By, Herlufmagle"
1085,Sjælland,370,Næstved Kommune,270554,"Herlufmagle By, Herlufmagle","Herlufmagle By, Herlufmagle"
1085,Sjælland,370,Næstved Kommune,240752,"Herlufsholm Hgd., Herlufsholm","Herlufsholm Hgd., Herlufsholm"
1082,Midtjylland,657,Herning Kommune,2007051,Herning Bygrunde,Herning Bygrunde
1082,Midtjylland,657,Herning Kommune,2007055,"Herningsholm, Herning Jorder","Herningsholm, Herning Jorder"
1083,Syddanmark,450,Nyborg Kommune,410951,"Herrested By, Herrested","Herrested By, Herrested"
1085,Sjælland,306,Odsherred Kommune,160557,"Herrestrup By, Grevinge","Herrestrup By, Grevinge"
1085,Sjælland,340,Sorø Kommune,191251,"Herrestrup By, Skellebjerg","Herrestrup By, Skellebjerg"
1083,Syddanmark,430,Faaborg-Midtfyn Kommune,441152,"Herringe By, Herringe","Herringe By, Herringe"
1085,Sjælland,265,Roskilde Kommune,30851,"Herringløse By, Hvedstrup","Herringløse By, Hvedstrup"
1085,Sjælland,376,Guldborgsund Kommune,470652,"Herritslev By, Herritslev","Herritslev By, Herritslev"
1082,Midtjylland,746,Skanderborg Kommune,990551,"Herskind By, Skivholme","Herskind By, Skivholme"
1085,Sjælland,326,Kalundborg Kommune,190452,"Herslev By, Finderup","Herslev By, Finderup"
1085,Sjælland,350,Lejre Kommune,30652,"Herslev By, Herslev","Herslev By, Herslev (Lejre Kommune)"
1083,Syddanmark,607,Fredericia Kommune,1150152,"Herslev By, Herslev","Herslev By, Herslev (Fredericia Kommune)"
1083,Syddanmark,482,Langeland Kommune,460452,"Herslev By, Lindelse","Herslev By, Lindelse"
1083,Syddanmark,440,Kerteminde Kommune,340353,"Hersnap By, Dalby","Hersnap By, Dalby"
1082,Midtjylland,791,Viborg Kommune,760451,"Hersom By, Hersom","Hersom By, Hersom"
1082,Midtjylland,791,Viborg Kommune,760452,"Hersomgård, Hersom","Hersomgård, Hersom"
1084,Hovedstaden,165,Albertslund Kommune,20652,"Herstedøster By, Herstedøster","Herstedøster By, Herstedøster"
1084,Hovedstaden,165,Albertslund Kommune,20551,"Herstedvester By, Herstedvester","Herstedvester By, Herstedvester"
1084,Hovedstaden,270,Gribskov Kommune,111056,"Hesbjerg Gde., Søborg","Hesbjerg Gde., Søborg"
1085,Sjælland,320,Faxe Kommune,210353,"Hesede Hgd., Bråby","Hesede Hgd., Bråby"
1083,Syddanmark,420,Assens Kommune,391952,"Hesle By, Turup","Hesle By, Turup"
1083,Syddanmark,420,Assens Kommune,392052,"Hesle By, Vedtofte","Hesle By, Vedtofte"
1085,Sjælland,376,Guldborgsund Kommune,520152,"Hesnæs By, Åstrup","Hesnæs By, Åstrup"
1083,Syddanmark,573,Varde Kommune,1330251,"Hessel By, Hodde","Hessel By, Hodde"
1082,Midtjylland,707,Norddjurs Kommune,970155,"Hessel Hgd., Ålsø","Hessel Hgd., Ålsø"
1081,Nordjylland,820,Vesthimmerlands Kommune,670751,"Hessel Hgd., Lovns","Hessel Hgd., Lovns"
1082,Midtjylland,661,Holstebro Kommune,1220254,"Hessel, Borbjerg","Hessel, Borbjerg"
1083,Syddanmark,580,Aabenraa Kommune,1500553,"Hessel, Ravsted","Hessel, Ravsted"
1083,Syddanmark,479,Svendborg Kommune,420553,"Hesselager By, Hesselager","Hesselager By, Hesselager"
1083,Syddanmark,479,Svendborg Kommune,420554,"Hesselagergård Hgd., Hesselager","Hesselagergård Hgd., Hesselager"
1081,Nordjylland,860,Hjørring Kommune,530252,"Hesselbæk Gde., Bindslev","Hesselbæk Gde., Bindslev"
1082,Midtjylland,751,Århus Kommune,950352,"Hesselballe By, Hjortshøj","Hesselballe By, Hjortshøj"
1083,Syddanmark,630,Vejle kommune,1151055,"Hesselballe By, Ø. Starup","Hesselballe By, Ø. Starup"
1082,Midtjylland,766,Hedensted Kommune,1121551,"Hesselballe By, Uldum","Hesselballe By, Uldum"
1084,Hovedstaden,270,Gribskov Kommune,110253,"Hesselbjerg By, Blistrup","Hesselbjerg By, Blistrup"
1083,Syddanmark,482,Langeland Kommune,460354,"Hesselbjerg By, Humble","Hesselbjerg By, Humble"
1085,Sjælland,320,Faxe Kommune,212152,"Hesselbjerg By, Øde Førslev","Hesselbjerg By, Øde Førslev"
1081,Nordjylland,773,Morsø Kommune,731153,"Hesselbjerg By, Sejerslev","Hesselbjerg By, Sejerslev"
1082,Midtjylland,779,Skive Kommune,1240257,"Hesselbjerg Gde., Estvad","Hesselbjerg Gde., Estvad"
1082,Midtjylland,791,Viborg Kommune,780255,"Hesselbjerg, Bjerringbro","Hesselbjerg, Bjerringbro"
1082,Midtjylland,756,Ikast-Brande Kommune,1190854,"Hesselbjerg, Ikast","Hesselbjerg, Ikast"
1085,Sjælland,326,Kalundborg Kommune,191051,"Hesselbjerg, Reerslev","Hesselbjerg, Reerslev"
1085,Sjælland,330,Slagelse Kommune,230256,"Hesselby By, Eggeslevmagle","Hesselby By, Eggeslevmagle"
1083,Syddanmark,573,Varde Kommune,1330555,"Hesselho By, Tistrup","Hesselho By, Tistrup"
1083,Syddanmark,573,Varde Kommune,1351552,"Hesselho, V. Starup","Hesselho, V. Starup"
1081,Nordjylland,846,Mariagerfjord Kommune,641351,"Hesselholt By, St. Arden","Hesselholt By, St. Arden"
1081,Nordjylland,846,Mariagerfjord Kommune,641352,"Hesselholt Huse, St. Arden","Hesselholt Huse, St. Arden"
1082,Midtjylland,791,Viborg Kommune,780952,"Hesselholt, Mammen","Hesselholt, Mammen"
1083,Syddanmark,561,Esbjerg Kommune,1290453,"Hessellund By, Gørding","Hessellund By, Gørding"
1082,Midtjylland,791,Viborg Kommune,800852,"Hessellund By, Karup","Hessellund By, Karup"
1083,Syddanmark,573,Varde Kommune,1340156,"Hesselmed Hgd., Ål","Hesselmed Hgd., Ål"
1084,Hovedstaden,260,Halsnæs Kommune,100755,"Hesselø, Torup","Hesselø, Torup"
1084,Hovedstaden,210,Fredensborg Kommune,130456,"Hesselrød By, Karlebo","Hesselrød By, Karlebo"
1082,Midtjylland,671,Struer Kommune,1220153,"Hestbæk Gde., Asp","Hestbæk Gde., Asp"
1082,Midtjylland,730,Randers Kommune,920152,"Hestehave, Albæk","Hestehave, Albæk"
1082,Midtjylland,746,Skanderborg Kommune,2006656,"Hestehaven, Skanderborg Jorder","Hestehaven, Skanderborg Jorder"
1084,Hovedstaden,201,Allerød Kommune,81252,"Hestetangs Mølle, Uggeløse","Hestetangs Mølle, Uggeløse"
1081,Nordjylland,860,Hjørring Kommune,2004757,"Hesthaven, Hjørring Jorder","Hesthaven, Hjørring Jorder"
1083,Syddanmark,420,Assens Kommune,390555,"Hestholm, Gamtofte","Hestholm, Gamtofte"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1210554,"Hestkær, Hanning","Hestkær, Hanning"
1084,Hovedstaden,230,Rudersdal Kommune,130652,"Hestkøb, Bistrup","Hestkøb, Bistrup"
1082,Midtjylland,756,Ikast-Brande Kommune,1190458,"Hestlund By, Bording","Hestlund By, Bording"
1082,Midtjylland,707,Norddjurs Kommune,900552,"Hevring By, Ørsted","Hevring By, Ørsted"
1082,Midtjylland,707,Norddjurs Kommune,932251,"Hevring Hede, Ørsted","Hevring Hede, Ørsted"
1082,Midtjylland,707,Norddjurs Kommune,900152,"Hevring Mølle, Estruplund","Hevring Mølle, Estruplund"
1082,Midtjylland,707,Norddjurs Kommune,932151,"Hevringholm Hgd., Vivild","Hevringholm Hgd., Vivild"
1084,Hovedstaden,219,Hillerød Kommune,2000751,Hillerød Bygrunde,Hillerød Bygrunde
1084,Hovedstaden,219,Hillerød Kommune,2000752,Hillerød Markjorder,Hillerød Markjorder
1084,Hovedstaden,219,Hillerød Kommune,2000755,Hillerød Overdrev,Hillerød Overdrev
1084,Hovedstaden,219,Hillerød Kommune,2000758,"Hillerødsholm, Hillerød Jorder","Hillerødsholm, Hillerød Jorder"
1083,Syddanmark,430,Faaborg-Midtfyn Kommune,441253,"Hillerslev By, Hillerslev","Hillerslev By, Hillerslev"
1083,Syddanmark,561,Esbjerg Kommune,1300151,"Hillerup By, Farup","Hillerup By, Farup"
1085,Sjælland,360,Lolland Kommune,480851,"Hillested By, Hillested","Hillested By, Hillested"
1085,Sjælland,360,Lolland Kommune,480654,"Hillestolpe By, Fuglse","Hillestolpe By, Fuglse"
1085,Sjælland,360,Lolland Kommune,481052,"Hillestolpe By, Krønge","Hillestolpe By, Krønge"
1085,Sjælland,376,Guldborgsund Kommune,520655,"Hillestrup By, Idestrup","Hillestrup By, Idestrup"
1085,Sjælland,336,Stevns Kommune,310652,"Himlingøje By, Himlingøje","Himlingøje By, Himlingøje"
1085,Sjælland,265,Roskilde Kommune,30751,"Himmelev By, Himmelev","Himmelev By, Himmelev"
1083,Syddanmark,480,Nordfyns Kommune,381164,"Himmelstrup Gde., Vigerslev","Himmelstrup Gde., Vigerslev"
1083,Syddanmark,607,Fredericia Kommune,2006761,"Himmerighus, Fredericia Jorder","Himmerighus, Fredericia Jorder"
1082,Midtjylland,791,Viborg Kommune,781853,"Himmestrup Enge, Viskum","Himmestrup Enge, Viskum"
1082,Midtjylland,791,Viborg Kommune,780851,"Himmestrup Hgd., Lee","Himmestrup Hgd., Lee"
1082,Midtjylland,791,Viborg Kommune,781852,"Himmestrup Hgd., Viskum","Himmestrup Hgd., Viskum"
1082,Midtjylland,740,Silkeborg Kommune,800953,"Hindbjerg By, Levring","Hindbjerg By, Levring"
1082,Midtjylland,779,Skive Kommune,830451,"Hindborg By, Hindborg","Hindborg By, Hindborg"
1083,Syddanmark,450,Nyborg Kommune,411353,"Hindemae Hgd., Skellerup","Hindemae Hgd., Skellerup"
1083,Syddanmark,580,Aabenraa Kommune,1510352,"Hinderup, Hellevad","Hinderup, Hellevad"
1083,Syddanmark,480,Nordfyns Kommune,380355,"Hindevad By, Hårslev","Hindevad By, Hårslev"
1081,Nordjylland,787,Thisted Kommune,690652,"Hinding By, Nors","Hinding By, Nors"
1082,Midtjylland,661,Holstebro Kommune,1221056,"Hindkær Gde., Mejrup","Hindkær Gde., Mejrup"
1082,Midtjylland,760,Ringkøbing-Skjern Kommune,1180356,"Hindø, Hee","Hindø, Hee"
1082,Midtjylland,671,Struer Kommune,720757,"Hindsels Hgd., Hvidbjerg","Hindsels Hgd., Hvidbjerg"
1083,Syddanmark,410,Middelfart Kommune,2003753,"Hindsgavl, Middelfart Jorder","Hindsgavl, Middelfart Jorder"
1083,Syddanmark,630,Vejle Kommune,1121456,"Hindskov By, Thyregod","Hindskov By, Thyregod"
1082,Midtjylland,740,Silkeborg Kommune,800554,"Hinge By, Hinge","Hinge By, Hinge"
1082,Midtjylland,710,Favrskov Kommune,910153,"Hinge By, Nr. Galten","Hinge By, Nr. Galten"
1082,Midtjylland,661,Holstebro Kommune,1191855,"Hingebjerg, Tvis","Hingebjerg, Tvis"
1081,Nordjylland,849,Jammerbugt Kommune,680654,"Hingelbjerg Gde., Kollerup","Hingelbjerg Gde., Kollerup"
1083,Syddanmark,561,Esbjerg Kommune,1350552,"Hinkbøl By, Grimstrup","Hinkbøl By, Grimstrup (Esbjerg Kommune)"
1083,Syddanmark,573,Varde Kommune,1350552,"Hinkbøl By, Grimstrup","Hinkbøl By, Grimstrup (Varde Kommune)"
1082,Midtjylland,751,Århus Kommune,1031051,"Hinnedrup By, Tulstrup","Hinnedrup By, Tulstrup"
1082,Midtjylland,710,Favrskov Kommune,1010353,"Hinnerup By, Grundfør","Hinnerup By, Grundfør"
1082,Midtjylland,710,Favrskov Kommune,980453,"Hinnerup By, Haldum","Hinnerup By, Haldum"
1082,Midtjylland,779,Skive Kommune,841051,"Hinnerup By, Thorum","Hinnerup By, Thorum"
1083,Syddanmark,530,Billund Kommune,1360254,"Hinnum By, Grindsted","Hinnum By, Grindsted"
1081,Nordjylland,813,Frederikshavn Kommune,530651,"Hirsholme By, Hirsholmene","Hirsholme By, Hirsholmene"
1083,Syddanmark,480,Nordfyns Kommune,360255,"Hjadstrup By, Hjadstrup","Hjadstrup By, Hjadstrup"
1083,Syddanmark,420,Assens Kommune,390953,"Hjærup By, Kerte","Hjærup By, Kerte"
1081,Nordjylland,810,Brønderslev Kommune,551552,"Hjallerup Fjerding, Hjallerup","Hjallerup Fjerding, Hjallerup"
1083,Syddanmark,461,Odense Kommune,330452,"Hjallese By, Dalum","Hjallese By, Dalum"
1082,Midtjylland,791,Viborg Kommune,751551,"Hjarbæk By, Vorde","Hjarbæk By, Vorde"
1081,Nordjylland,787,Thisted Kommune,690352,"Hjardemål By, Hjardemål","Hjardemål By, Hjardemål"
1081,Nordjylland,787,Thisted Kommune,690351,"Hjardemål Klit, Hjardemål","Hjardemål Klit, Hjardemål"
1082,Midtjylland,766,Hedensted Kommune,1100551,"Hjarnø By, Hjarnø","Hjarnø By, Hjarnø"
1083,Syddanmark,510,Haderslev Kommune,1450252,"Hjartbro, Bevtoft","Hjartbro, Bevtoft"
1083,Syddanmark,621,Kolding Kommune,1270451,"Hjarup By, Hjarup","Hjarup By, Hjarup"
1083,Syddanmark,573,Varde Kommune,1330663,"Hjedding By, Ølgod","Hjedding By, Ølgod"
1081,Nordjylland,840,Rebild Kommune,611455,"Hjeds By, Veggerby","Hjeds By, Veggerby"
1081,Nordjylland,840,Rebild Kommune,611053,"Hjedsbæk By, Suldrup","Hjedsbæk By, Suldrup"
1085,Sjælland,390,Vordingborg Kommune,320351,"Hjelm By, Damsholte","Hjelm By, Damsholte"
1085,Sjælland,376,Guldborgsund Kommune,470951,"Hjelm By, Majbølle","Hjelm By, Majbølle"
1082,Midtjylland,661,Holstebro Kommune,1240971,"Hjelm Hede, Sevel","Hjelm Hede, Sevel"
1082,Midtjylland,661,Holstebro Kommune,1240967,"Hjelm Mølle, Sevel","Hjelm Mølle, Sevel"
1082,Midtjylland,706,Syddjurs Kommune,2006254,"Hjelm, Ebeltoft Jorder","Hjelm, Ebeltoft Jorder"
1082,Midtjylland,751,Århus Kommune,950852,"Hjelmager By, Skødstrup","Hjelmager By, Skødstrup"
1083,Syddanmark,630,Vejle kommune,1140156,"Hjelmdrup By, Egtved","Hjelmdrup By, Egtved"
1083,Syddanmark,420,Assens Kommune,331552,"Hjelmerup By, Verninge","Hjelmerup By, Verninge"
1085,Sjælland,360,Lolland Kommune,490154,"Hjelmholt By, Birket","Hjelmholt By, Birket"
1085,Sjælland,370,Næstved Kommune,271252,"Hjelmsølille By, Tybjerg","Hjelmsølille By, Tybjerg"
1085,Sjælland,329,Ringsted Kommune,211555,"Hjelmsømagle By, Sneslev","Hjelmsømagle By, Sneslev"
1081,Nordjylland,810,Brønderslev Kommune,560951,"Hjelmsted By, Serritslev","Hjelmsted By, Serritslev"
1085,Sjælland,316,Holbæk Kommune,140552,"Hjembæk By, Hjembæk","Hjembæk By, Hjembæk"
1082,Midtjylland,779,Skive Kommune,850652,"Hjerk By, Hjerk","Hjerk By, Hjerk"
1082,Midtjylland,671,Struer Kommune,1220854,"Hjerm Gde., Hjerm","Hjerm Gde., Hjerm"
1082,Midtjylland,671,Struer Kommune,1220855,"Hjerm Hede, Hjerm","Hjerm Hede, Hjerm"
1082,Midtjylland,791,Viborg Kommune,780252,"Hjermind By, Bjerringbro","Hjermind By, Bjerringbro"
1082,Midtjylland,791,Viborg Kommune,780551,"Hjermind By, Hjermind","Hjermind By, Hjermind"
1081,Nordjylland,810,Brønderslev Kommune,561351,"Hjermitslevgård Hgd., Tolstrup","Hjermitslevgård Hgd., Tolstrup"
1081,Nordjylland,810,Brønderslev Kommune,561352,"Hjermitslevgård Rebsenge, Tolstrup","Hjermitslevgård Rebsenge, Tolstrup"
1083,Syddanmark,510,Haderslev Kommune,1410551,"Hjerndrup Ejerlav, Hjerndrup","Hjerndrup Ejerlav, Hjerndrup"
1083,Syddanmark,550,Tønder Kommune,1480351,"Hjerpsted Ejerlav, Hjerpsted","Hjerpsted Ejerlav, Hjerpsted"
1085,Sjælland,390,Vordingborg Kommune,320452,"Hjertebjerg By, Elmelunde","Hjertebjerg By, Elmelunde"
1083,Syddanmark,561,Esbjerg Kommune,1350654,"Hjerting By, Guldager","Hjerting By, Guldager"
1083,Syddanmark,575,Vejen Kommune,1440251,"Hjerting Ejerlav, Hjerting","Hjerting Ejerlav, Hjerting"
1083,Syddanmark,580,Aabenraa Kommune,1520154,"Hjolderup, Bjolderup","Hjolderup, Bjolderup"
1083,Syddanmark,580,Aabenraa Kommune,1520253,"Hjordkær Ejerlav, Hjordkær","Hjordkær Ejerlav, Hjordkær"
1081,Nordjylland,860,Hjørring Kommune,2004751,Hjørring Bygrunde,Hjørring Bygrunde
1081,Nordjylland,860,Hjørring Kommune,2004752,Hjørring Markjorder,Hjørring Markjorder
1083,Syddanmark,480,Nordfyns Kommune,360651,"Hjorslev By, Otterup","Hjorslev By, Otterup"
1081,Nordjylland,849,Jammerbugt Kommune,680352,"Hjortdal By, Hjortdal","Hjortdal By, Hjortdal"
1083,Syddanmark,410,Middelfart Kommune,391853,"Hjorte By, Tanderup","Hjorte By, Tanderup"
1084,Hovedstaden,163,Herlev Kommune,14152,Hjortespring,Hjortespring
1082,Midtjylland,791,Viborg Kommune,780651,"Hjorthede By, Hjorthede","Hjorthede By, Hjorthede"
1083,Syddanmark,482,Langeland Kommune,460152,"Hjortholm Hgd., Fodslette","Hjortholm Hgd., Fodslette"
1083,Syddanmark,540,Sønderborg Kommune,1550351,"Hjortholm, Kegnæs","Hjortholm, Kegnæs"
1083,Syddanmark,573,Varde Kommune,1350553,"Hjortkær By, Grimstrup","Hjortkær By, Grimstrup"
1083,Syddanmark,561,Esbjerg Kommune,1300253,"Hjortlund By, Hjortlund","Hjortlund By, Hjortlund"
1081,Nordjylland,860,Hjørring Kommune,560154,"Hjortnæs, Børglum","Hjortnæs, Børglum"
1083,Syddanmark,479,Svendborg Kommune,2004359,"Hjortø, Svendborg Jorder","Hjortø, Svendborg Jorder"
1082,Midtjylland,740,Silkeborg Kommune,1090758,"Hjortsballe By, Them","Hjortsballe By, Them"
1082,Midtjylland,751,Århus Kommune,950353,"Hjortshøj By, Hjortshøj","Hjortshøj By, Hjortshøj"
1082,Midtjylland,751,Århus Kommune,950354,"Hjortshøjlund, Hjortshøj","Hjortshøjlund, Hjortshøj"
1082,Midtjylland,766,Hedensted Kommune,1090551,"Hjortsvang By, Linnerup","Hjortsvang By, Linnerup"
1083,Syddanmark,561,Esbjerg Kommune,1300353,"Hjortvad, Kalvslund","Hjortvad, Kalvslund"
1083,Syddanmark,450,Nyborg Kommune,411152,"Hjulby By, Nyborg","Hjulby By, Nyborg"
1085,Sjælland,370,Næstved Kommune,270555,"Hjulebæk By, Herlufmagle","Hjulebæk By, Herlufmagle"
1083,Syddanmark,573,Varde Kommune,1340451,"Ho By, Ho","Ho By, Ho"
1083,Syddanmark,430,Faaborg-Midtfyn Kommune,440459,"Høbbet, Brahetrolleborg","Høbbet, Brahetrolleborg"
1082,Midtjylland,707,Norddjurs Kommune,970156,"Høbjerg By, Ålsø","Høbjerg By, Ålsø"
1084,Hovedstaden,270,Gribskov Kommune,110653,"Høbjerg By, Helsinge","Høbjerg By, Helsinge"
1084,Hovedstaden,270,Gribskov Kommune,110654,"Høbjerg Hegn, Helsinge","Høbjerg Hegn, Helsinge"
1081,Nordjylland,846,Mariagerfjord Kommune,2005951,Hobro Bygrunde,Hobro Bygrunde
1081,Nordjylland,846,Mariagerfjord Kommune,2005952,Hobro Markjorder,Hobro Markjorder
1085,Sjælland,360,Lolland Kommune,500452,"Hoby By, Gloslunde","Hoby By, Gloslunde"
1083,Syddanmark,573,Varde Kommune,1330252,"Hodde By, Hodde","Hodde By, Hodde"
1083,Syddanmark,573,Varde Kommune,1330253,"Hodde Præstegård, Hodde","Hodde Præstegård, Hodde"
1083,Syddanmark,573,Varde Kommune,1330254,"Hoddeskov By, Hodde","Hoddeskov By, Hodde"
1083,Syddanmark,420,Assens Kommune,390453,"Høed By, Flemløse","Høed By, Flemløse"
1082,Midtjylland,707,Norddjurs Kommune,970652,"Hoed By, Hoed","Hoed By, Hoed"
1085,Sjælland,316,Holbæk Kommune,140752,"Høed By, Jyderup","Høed By, Jyderup"
1085,Sjælland,329,Ringsted Kommune,211851,"Høed By, Valsølille","Høed By, Valsølille"
1085,Sjælland,329,Ringsted Kommune,211153,"Høed Skov, Kværkeby","Høed Skov, Kværkeby"
1083,Syddanmark,630,Vejle kommune,1130855,"Hofmansfeld, Randbøl","Hofmansfeld, Randbøl"
1083,Syddanmark,480,Nordfyns Kommune,360553,"Hofmansgave Hgd., Norup","Hofmansgave Hgd., Norup"
1082,Midtjylland,740,Silkeborg Kommune,810852,"Høgdal, Serup","Høgdal, Serup"
1083,Syddanmark,580,Aabenraa Kommune,1520355,"Høgebjerg, Løjt","Høgebjerg, Løjt"
1083,Syddanmark,510,Haderslev Kommune,1431053,"Høgelund, Vedsted","Høgelund, Vedsted"
1082,Midtjylland,706,Syddjurs Kommune,971353,"Høgholm Hgd., Tirstrup","Høgholm Hgd., Tirstrup"
1081,Nordjylland,860,Hjørring Kommune,530751,"Høgholt Hgd., Hørmested","Høgholt Hgd., Hørmested"
1082,Midtjylland,791,Viborg Kommune,800853,"Høgild By, Karup","Høgild By, Karup"
1082,Midtjylland,657,Herning Kommune,1190352,"Høgild Gde., Avlum","Høgild Gde., Avlum"
1083,Syddanmark,630,Vejle Kommune,1130352,"Høgsholt By, Hover","Høgsholt By, Hover"
1083,Syddanmark,420,Assens Kommune,331254,"Høgsholt Skov, Tommerup","Høgsholt Skov, Tommerup"
1083,Syddanmark,550,Tønder Kommune,1490152,"Høgslund, Abild","Høgslund, Abild"
1081,Nordjylland,860,Hjørring Kommune,561659,"Høgsted By, Vrejlev","Høgsted By, Vrejlev"
1082,Midtjylland,751,Århus Kommune,1030551,"Højballe By, Mårslet","Højballe By, Mårslet"
1085,Sjælland,370,Næstved Kommune,240455,"Højbjerg By, Førslev","Højbjerg By, Førslev"
1082,Midtjylland,791,Viborg Kommune,800651,"Højbjerg By, Højbjerg","Højbjerg By, Højbjerg"
1083,Syddanmark,420,Assens Kommune,392151,"Højbjerg By, Ørsted","Højbjerg By, Ørsted"
1083,Syddanmark,461,Odense Kommune,331455,"Højbjerg By, Ubberud","Højbjerg By, Ubberud"
1083,Syddanmark,420,Assens Kommune,391153,"Højbjerggård, Køng","Højbjerggård, Køng"
1085,Sjælland,329,Ringsted Kommune,211052,"Højbjergmarken, Jystrup","Højbjergmarken, Jystrup"
1085,Sjælland,306,Odsherred Kommune,160658,"Højby By, Højby","Højby By, Højby (Odsherred Kommune)"
1083,Syddanmark,461,Odense Kommune,350551,"Højby By, Højby","Højby By, Højby (Odense Kommune)"
